#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1432847,18500036,CF81_gp59,CF81_gp59,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1432847,18500037,CF81_gp58,CF81_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1432847,18500038,CF81_gp57,CF81_gp57,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1432847,18500039,CF81_gp56,CF81_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500040,CF81_gp55,CF81_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500041,CF81_gp54,CF81_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500042,CF81_gp53,CF81_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500043,CF81_gp52,CF81_gp52,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20201221,-
1432847,18500044,CF81_gp51,CF81_gp51,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1432847,18500045,CF81_gp50,CF81_gp50,-,-,-,-,DUF669 domain-containing protein,protein-coding,-,-,-,DUF669 domain-containing protein,20201221,-
1432847,18500046,CF81_gp49,CF81_gp49,-,-,-,-,replisome organizer N-terminal domain-containing protein,protein-coding,-,-,-,replisome organizer N-terminal domain-containing protein,20201221,-
1432847,18500047,CF81_gp48,CF81_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500048,CF81_gp47,CF81_gp47,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201221,-
1432847,18500049,CF81_gp46,CF81_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500050,CF81_gp45,CF81_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500051,CF81_gp44,CF81_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500052,CF81_gp43,CF81_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500053,CF81_gp42,CF81_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500054,CF81_gp41,CF81_gp41,-,-,-,-,putative prophage protein,protein-coding,-,-,-,putative prophage protein,20200629,-
1432847,18500055,CF81_gp40,CF81_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500056,CF81_gp39,CF81_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500057,CF81_gp38,CF81_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500058,CF81_gp37,CF81_gp37,-,-,-,-,putative prophage protein,protein-coding,-,-,-,putative prophage protein,20200629,-
1432847,18500059,CF81_gp36,CF81_gp36,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1432847,18500060,CF81_gp35,CF81_gp35,-,-,-,-,Phage terminase large subunit,protein-coding,-,-,-,Phage terminase large subunit,20210424,-
1432847,18500061,CF81_gp34,CF81_gp34,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1432847,18500062,CF81_gp33,CF81_gp33,-,-,-,-,ribosomal-processing cysteine protease Prp,protein-coding,-,-,-,ribosomal-processing cysteine protease Prp,20201221,-
1432847,18500063,CF81_gp32,CF81_gp32,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1432847,18500064,CF81_gp31,CF81_gp31,-,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20201221,-
1432847,18500065,CF81_gp30,CF81_gp30,-,-,-,-,prophage protein,protein-coding,-,-,-,prophage protein,20200629,-
1432847,18500066,CF81_gp29,CF81_gp29,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1432847,18500067,CF81_gp28,CF81_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500068,CF81_gp27,CF81_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500069,CF81_gp26,CF81_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500070,CF81_gp25,CF81_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500071,CF81_gp24,CF81_gp24,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210417,-
1432847,18500072,CF81_gp23,CF81_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500073,CF81_gp22,CF81_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500074,CF81_gp21,CF81_gp21,-,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201221,-
1432847,18500075,CF81_gp20,CF81_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500076,CF81_gp19,CF81_gp19,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1432847,18500077,CF81_gp18,CF81_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500078,CF81_gp17,CF81_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500079,CF81_gp16,CF81_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500080,CF81_gp15,CF81_gp15,-,-,-,-,Phage lysin,protein-coding,-,-,-,Phage lysin,20200629,-
1432847,18500081,CF81_gp14,CF81_gp14,-,-,-,-,Hol44,protein-coding,-,-,-,Hol44,20200629,-
1432847,18500082,CF81_gp13,CF81_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500083,CF81_gp12,CF81_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500084,CF81_gp11,CF81_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500085,CF81_gp10,CF81_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500086,CF81_gp09,CF81_gp09,-,-,-,-,NgoFVII family restriction endonuclease,protein-coding,-,-,-,NgoFVII family restriction endonuclease,20201221,-
1432847,18500087,CF81_gp08,CF81_gp08,-,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201221,-
1432847,18500088,CF81_gp07,CF81_gp07,-,-,-,-,Very-short-patch mismatch repair endonuclease,protein-coding,-,-,-,Very-short-patch mismatch repair endonuclease,20200629,-
1432847,18500089,CF81_gp06,CF81_gp06,-,-,-,-,DUF2513 domain-containing protein,protein-coding,-,-,-,DUF2513 domain-containing protein,20201221,-
1432847,18500090,CF81_gp05,CF81_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500091,CF81_gp04,CF81_gp04,-,-,-,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20201221,-
1432847,18500092,CF81_gp03,CF81_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500093,CF81_gp02,CF81_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500094,CF81_gp01,CF81_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432847,18500095,CF81_gt01,CF81_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1432847,18506825,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Oenococcus oeni bacteriophage phiS11).,other,-,-,-,-,20200513,-
