#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301545,64368091,2,KD934_gp02,SEA_TAPIOCA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2301545,64368092,3,KD934_gp03,SEA_TAPIOCA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368093,4,KD934_gp04,SEA_TAPIOCA_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2301545,64368094,5,KD934_gp05,SEA_TAPIOCA_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210423,-
2301545,64368095,6,KD934_gp06,SEA_TAPIOCA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2301545,64368096,7,KD934_gp07,SEA_TAPIOCA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368097,8,KD934_gp08,SEA_TAPIOCA_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210423,-
2301545,64368098,9,KD934_gp09,SEA_TAPIOCA_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210423,-
2301545,64368099,10,KD934_gp10,SEA_TAPIOCA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368100,11,KD934_gp11,SEA_TAPIOCA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2301545,64368101,12,KD934_gp12,SEA_TAPIOCA_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210423,-
2301545,64368102,13,KD934_gp13,SEA_TAPIOCA_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210423,-
2301545,64368103,15,KD934_gp14,SEA_TAPIOCA_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2301545,64368104,16,KD934_gp16,SEA_TAPIOCA_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210423,-
2301545,64368105,14,KD934_gp15,SEA_TAPIOCA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2301545,64368106,17,KD934_gp17,SEA_TAPIOCA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301545,64368107,18,KD934_gp18,SEA_TAPIOCA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301545,64368108,19,KD934_gp19,SEA_TAPIOCA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301545,64368109,20,KD934_gp20,SEA_TAPIOCA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301545,64368110,21,KD934_gp21,SEA_TAPIOCA_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368111,22,KD934_gp22,SEA_TAPIOCA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301545,64368112,23,KD934_gp23,SEA_TAPIOCA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368113,24,KD934_gp24,SEA_TAPIOCA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368114,25,KD934_gp25,SEA_TAPIOCA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368115,26,KD934_gp26,SEA_TAPIOCA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368116,27,KD934_gp27,SEA_TAPIOCA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368117,28,KD934_gp28,SEA_TAPIOCA_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
2301545,64368118,29,KD934_gp29,SEA_TAPIOCA_29,-,-,-,holin,protein-coding,-,-,-,holin,20210529,-
2301545,64368119,30,KD934_gp30,SEA_TAPIOCA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368120,31,KD934_gp31,SEA_TAPIOCA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368121,32,KD934_gp32,SEA_TAPIOCA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368122,33,KD934_gp33,SEA_TAPIOCA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368123,34,KD934_gp34,SEA_TAPIOCA_34,-,-,-,HicB-like antitoxin,protein-coding,-,-,-,HicB-like antitoxin,20210423,-
2301545,64368124,35,KD934_gp35,SEA_TAPIOCA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368125,36,KD934_gp36,SEA_TAPIOCA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2301545,64368126,37,KD934_gp37,SEA_TAPIOCA_37,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210529,-
2301545,64368127,38,KD934_gp38,SEA_TAPIOCA_38,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210529,-
2301545,64368128,39,KD934_gp39,SEA_TAPIOCA_39,-,-,-,excise,protein-coding,-,-,-,excise,20210529,-
2301545,64368129,40,KD934_gp40,SEA_TAPIOCA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368130,41,KD934_gp41,SEA_TAPIOCA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368131,42,KD934_gp42,SEA_TAPIOCA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368132,43,KD934_gp43,SEA_TAPIOCA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368133,44,KD934_gp44,SEA_TAPIOCA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
