#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2479933,65117634,KNU28_gp002,KNU28_gp002,KEPCLCAE_00002,-,-,-,double-stranded DNA-binding protein,protein-coding,-,-,-,double-stranded DNA-binding protein,20210607,-
2479933,65117635,KNU28_gp003,KNU28_gp003,KEPCLCAE_00003,-,-,-,RNA polymerase-associated protein,protein-coding,-,-,-,RNA polymerase-associated protein,20210607,-
2479933,65117636,KNU28_gp004,KNU28_gp004,KEPCLCAE_00004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117637,KNU28_gp005,KNU28_gp005,KEPCLCAE_00005,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210609,-
2479933,65117638,KNU28_gp006,KNU28_gp006,KEPCLCAE_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117639,KNU28_gp007,KNU28_gp007,KEPCLCAE_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117640,KNU28_gp008,KNU28_gp008,KEPCLCAE_00008,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2479933,65117641,KNU28_gp009,KNU28_gp009,KEPCLCAE_00009,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2479933,65117642,KNU28_gp010,KNU28_gp010,KEPCLCAE_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117643,KNU28_gp011,KNU28_gp011,KEPCLCAE_00011,-,-,-,ribonucleoside-diphosphate reductase large subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase large subunit,20210607,-
2479933,65117644,KNU28_gp012,KNU28_gp012,KEPCLCAE_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117645,KNU28_gp013,KNU28_gp013,KEPCLCAE_00013,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210607,-
2479933,65117646,KNU28_gp014,KNU28_gp014,KEPCLCAE_00014,-,-,-,RNA ligase 1,protein-coding,-,-,-,RNA ligase 1,20210607,-
2479933,65117647,KNU28_gp015,KNU28_gp015,KEPCLCAE_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117648,KNU28_gp016,KNU28_gp016,KEPCLCAE_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117649,KNU28_gp017,KNU28_gp017,KEPCLCAE_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117650,KNU28_gp018,KNU28_gp018,KEPCLCAE_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117651,KNU28_gp019,KNU28_gp019,KEPCLCAE_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117652,KNU28_gp020,KNU28_gp020,KEPCLCAE_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117653,KNU28_gp021,KNU28_gp021,KEPCLCAE_00021,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210607,-
2479933,65117654,KNU28_gp022,KNU28_gp022,KEPCLCAE_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117655,KNU28_gp023,KNU28_gp023,KEPCLCAE_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117656,KNU28_gp024,KNU28_gp024,KEPCLCAE_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117657,KNU28_gp025,KNU28_gp025,KEPCLCAE_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117658,KNU28_gp026,KNU28_gp026,KEPCLCAE_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
