#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1608310,26518986,3,AU156_gp286,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200910,-
1608310,26518987,11,AU156_gp272,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1608310,26518988,12,AU156_gp271,-,-,-,-,short tail fibers,protein-coding,-,-,-,short tail fibers,20200910,-
1608310,26518989,wac,AU156_gp270,-,-,-,-,fibritin neck whiskers,protein-coding,-,-,-,fibritin neck whiskers,20200910,-
1608310,26518990,14,AU156_gp268,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
1608310,26518991,15,AU156_gp267,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200910,-
1608310,26518992,16,AU156_gp266,-,-,-,-,"terminase DNA packaging enzyme, small subunit",protein-coding,-,-,-,"terminase DNA packaging enzyme, small subunit",20200910,-
1608310,26518993,17,AU156_gp265,-,-,-,-,"terminase DNA packaging enzyme, large subunit",protein-coding,-,-,-,"terminase DNA packaging enzyme, large subunit",20200910,-
1608310,26518994,18,AU156_gp264,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
1608310,26518995,19,AU156_gp263,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200910,-
1608310,26518996,20,AU156_gp262,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200910,-
1608310,26518997,4,AU156_gp284,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200910,-
1608310,26518998,67,AU156_gp261,-,-,-,-,"prohead core protein, precursor to internal peptides",protein-coding,-,-,-,"prohead core protein, precursor to internal peptides",20200910,-
1608310,26518999,22,AU156_gp258,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20200910,-
1608310,26519000,23,AU156_gp257,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20200910,-
