#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2686469,60329458,2,I5H46_gp002,SEA_HEGEDECHWINU_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2686469,60329459,3,I5H46_gp003,SEA_HEGEDECHWINU_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2686469,60329460,4,I5H46_gp004,SEA_HEGEDECHWINU_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2686469,60329461,5,I5H46_gp005,SEA_HEGEDECHWINU_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2686469,60329462,6,I5H46_gp006,SEA_HEGEDECHWINU_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2686469,60329463,7,I5H46_gp007,SEA_HEGEDECHWINU_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2686469,60329464,8,I5H46_gp008,SEA_HEGEDECHWINU_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2686469,60329465,9,I5H46_gp009,SEA_HEGEDECHWINU_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2686469,60329466,10,I5H46_gp010,SEA_HEGEDECHWINU_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2686469,60329467,11,I5H46_gp011,SEA_HEGEDECHWINU_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2686469,60329468,12,I5H46_gp012,SEA_HEGEDECHWINU_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2686469,60329469,14,I5H46_gp013,SEA_HEGEDECHWINU_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2686469,60329470,15,I5H46_gp015,SEA_HEGEDECHWINU_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210123,-
2686469,60329471,13,I5H46_gp014,SEA_HEGEDECHWINU_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2686469,60329472,16,I5H46_gp016,SEA_HEGEDECHWINU_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2686469,60329473,17,I5H46_gp017,SEA_HEGEDECHWINU_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2686469,60329474,18,I5H46_gp018,SEA_HEGEDECHWINU_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2686469,60329475,19,I5H46_gp019,SEA_HEGEDECHWINU_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2686469,60329476,20,I5H46_gp020,SEA_HEGEDECHWINU_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2686469,60329477,21,I5H46_gp021,SEA_HEGEDECHWINU_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2686469,60329478,22,I5H46_gp022,SEA_HEGEDECHWINU_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329479,23,I5H46_gp023,SEA_HEGEDECHWINU_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329480,24,I5H46_gp024,SEA_HEGEDECHWINU_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329481,25,I5H46_gp025,SEA_HEGEDECHWINU_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329482,26,I5H46_gp026,SEA_HEGEDECHWINU_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210129,-
2686469,60329483,27,I5H46_gp027,SEA_HEGEDECHWINU_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329484,28,I5H46_gp028,SEA_HEGEDECHWINU_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329485,30,I5H46_gp030,SEA_HEGEDECHWINU_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329486,31,I5H46_gp031,SEA_HEGEDECHWINU_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201129,-
2686469,60329487,32,I5H46_gp032,SEA_HEGEDECHWINU_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2686469,60329488,33,I5H46_gp033,SEA_HEGEDECHWINU_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
