#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
553,8948600,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bacillus ananas; Bacterium ananas; Erwinia ananas; Erwinia ananatis; Erwinia ananus; Erwinia herbicola var. ananas; Erwinia uredovora; Pantoea ananas; Pectobacterium ananas; Xanthomonas uredovorus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200411,-
553,39510860,EHQ51_RS00120,EHQ51_RS00120,EHQ51_22960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39510865,EHQ51_RS01125,EHQ51_RS01125,EHQ51_23965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
553,39510870,EHQ51_RS01045,EHQ51_RS01045,EHQ51_23885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39510873,EHQ51_RS00945,EHQ51_RS00945,EHQ51_23785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39510890,EHQ51_RS01075,EHQ51_RS01075,EHQ51_23915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
553,39510898,EHQ51_RS00745,EHQ51_RS00745,EHQ51_23585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
553,39510899,EHQ51_RS00815,EHQ51_RS00815,EHQ51_23655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39510906,EHQ51_RS00770,EHQ51_RS00770,EHQ51_23610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
553,39510911,EHQ51_RS00020,EHQ51_RS00020,EHQ51_22860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39510946,EHQ51_RS00955,EHQ51_RS00955,EHQ51_23795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39510956,EHQ51_RS01120,EHQ51_RS01120,EHQ51_23960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39510972,EHQ51_RS00685,EHQ51_RS00685,EHQ51_23525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39511003,EHQ51_RS00865,EHQ51_RS00865,EHQ51_23705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39511036,EHQ51_RS00900,EHQ51_RS00900,EHQ51_23740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39511043,EHQ51_RS00235,EHQ51_RS00235,EHQ51_23075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39511050,EHQ51_RS00395,EHQ51_RS00395,EHQ51_23235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
553,39511052,EHQ51_RS00205,EHQ51_RS00205,EHQ51_23045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
