#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1115478,11669809,SaPhSE2_gp12,SaPhSE2_gp12,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1115478,11669810,SaPhSE2_gp13,SaPhSE2_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669811,SaPhSE2_gp14,SaPhSE2_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669812,SaPhSE2_gp15,SaPhSE2_gp15,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210129,-
1115478,11669813,SaPhSE2_gp16,SaPhSE2_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669814,SaPhSE2_gp17,SaPhSE2_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669815,SaPhSE2_gp18,SaPhSE2_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669816,SaPhSE2_gp19,SaPhSE2_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669817,SaPhSE2_gp20,SaPhSE2_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669818,SaPhSE2_gp21,SaPhSE2_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669819,SaPhSE2_gp22,SaPhSE2_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669820,SaPhSE2_gp23,SaPhSE2_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669821,SaPhSE2_gp24,SaPhSE2_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1115478,11669822,SaPhSE2_gp25,SaPhSE2_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669823,SaPhSE2_gp26,SaPhSE2_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669824,SaPhSE2_gp27,SaPhSE2_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669825,SaPhSE2_gp28,SaPhSE2_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669826,SaPhSE2_gp29,SaPhSE2_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669827,SaPhSE2_gp30,SaPhSE2_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669828,SaPhSE2_gp31,SaPhSE2_gp31,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200629,-
1115478,11669829,SaPhSE2_gp32,SaPhSE2_gp32,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1115478,11669830,SaPhSE2_gp33,SaPhSE2_gp33,-,-,-,-,amidase,protein-coding,-,-,-,amidase,20200629,-
1115478,11669831,SaPhSE2_gp34,SaPhSE2_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669832,SaPhSE2_gp35,SaPhSE2_gp35,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1115478,11669833,SaPhSE2_gp36,SaPhSE2_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669834,SaPhSE2_gp37,SaPhSE2_gp37,-,-,-,-,p11.5 protein,protein-coding,-,-,-,p11.5 protein,20200629,-
1115478,11669835,SaPhSE2_gp38,SaPhSE2_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669836,SaPhSE2_gp39,SaPhSE2_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669837,SaPhSE2_gp40,SaPhSE2_gp40,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20200629,-
1115478,11669838,SaPhSE2_gp41,SaPhSE2_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669839,SaPhSE2_gp42,SaPhSE2_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669840,SaPhSE2_gp43,SaPhSE2_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669841,SaPhSE2_gp44,SaPhSE2_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669842,SaPhSE2_gp45,SaPhSE2_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669843,SaPhSE2_gp46,SaPhSE2_gp46,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201221,-
1115478,11669844,SaPhSE2_gp47,SaPhSE2_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1115478,11669845,SaPhSE2_gp48,SaPhSE2_gp48,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1115478,11669846,SaPhSE2_gp49,SaPhSE2_gp49,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20200629,-
1115478,11669847,SaPhSE2_gp50,SaPhSE2_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669848,SaPhSE2_gp51,SaPhSE2_gp51,-,-,-,-,DNA methylase N-4/N-6 domain protein,protein-coding,-,-,-,DNA methylase N-4/N-6 domain protein,20200629,-
1115478,11669849,SaPhSE2_gp52,SaPhSE2_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669850,SaPhSE2_gp53,SaPhSE2_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669851,SaPhSE2_gp54,SaPhSE2_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669852,SaPhSE2_gp55,SaPhSE2_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669853,SaPhSE2_gp56,SaPhSE2_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669854,SaPhSE2_gp57,SaPhSE2_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669855,SaPhSE2_gp58,SaPhSE2_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669856,SaPhSE2_gp59,SaPhSE2_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669857,SaPhSE2_gp60,SaPhSE2_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669858,SaPhSE2_gp61,SaPhSE2_gp61,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20200629,-
1115478,11669859,SaPhSE2_gp01,SaPhSE2_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669860,SaPhSE2_gp02,SaPhSE2_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669861,SaPhSE2_gp03,SaPhSE2_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669862,SaPhSE2_gp04,SaPhSE2_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669863,SaPhSE2_gp05,SaPhSE2_gp05,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1115478,11669864,SaPhSE2_gp06,SaPhSE2_gp06,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1115478,11669865,SaPhSE2_gp07,SaPhSE2_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669866,SaPhSE2_gp08,SaPhSE2_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669867,SaPhSE2_gp09,SaPhSE2_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669868,SaPhSE2_gp10,SaPhSE2_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11669869,SaPhSE2_gp11,SaPhSE2_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1115478,11696979,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
