#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1739607,26633142,CL1_2,CL1_2,-,-,-,-,large subunit terminase,protein-coding,-,-,-,large subunit terminase,20200629,-
1739607,26633143,CL1_3,CL1_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1739607,26633144,CL1_4,CL1_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633145,CL1_5,CL1_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633146,CL1_6,CL1_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633147,CL1_7,CL1_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633148,CL1_8,CL1_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633149,CL1_9,CL1_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633150,CL1_10,CL1_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633151,CL1_11,CL1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633152,CL1_12,CL1_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633153,CL1_13,CL1_13,-,-,-,-,major structural protein,protein-coding,-,-,-,major structural protein,20200629,-
1739607,26633154,CL1_14,CL1_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633155,CL1_15,CL1_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1739607,26633156,CL1_16,CL1_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633157,CL1_17,CL1_17,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20200629,-
1739607,26633158,CL1_18,CL1_18,-,-,-,-,tail component,protein-coding,-,-,-,tail component,20200629,-
1739607,26633159,CL1_19,CL1_19,-,-,-,-,putative host interaction protein,protein-coding,-,-,-,putative host interaction protein,20200629,-
1739607,26633160,CL1_20,CL1_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633161,CL1_21,CL1_21,-,-,-,-,XkdX family protein,protein-coding,-,-,-,XkdX family protein,20201221,-
1739607,26633162,CL1_22,CL1_22,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1739607,26633163,CL1_23,CL1_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633164,CL1_24,CL1_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633165,CL1_25,CL1_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633166,CL1_26,CL1_26,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1739607,26633167,CL1_27,CL1_27,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1739607,26633168,CL1_28,CL1_28,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20200629,-
1739607,26633169,CL1_29,CL1_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633170,CL1_30,CL1_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633171,CL1_31,CL1_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633172,CL1_32,CL1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633173,CL1_33,CL1_33,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20200629,-
1739607,26633174,CL1_34,CL1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633175,CL1_35,CL1_35,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20200629,-
1739607,26633176,CL1_36,CL1_36,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20200629,-
1739607,26633177,CL1_37,CL1_37,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20200629,-
1739607,26633178,CL1_38,CL1_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633179,CL1_39,CL1_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633180,CL1_40,CL1_40,-,-,-,-,tcdA-E operon negative regulator,protein-coding,-,-,-,tcdA-E operon negative regulator,20200629,-
1739607,26633181,CL1_41,CL1_41,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20200629,-
1739607,26633182,CL1_42,CL1_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633183,CL1_43,CL1_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633184,CL1_44,CL1_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633185,CL1_45,CL1_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633186,CL1_46,CL1_46,-,-,-,-,putative replication protein,protein-coding,-,-,-,putative replication protein,20200629,-
1739607,26633187,CL1_47,CL1_47,-,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20200629,-
1739607,26633188,CL1_48,CL1_48,-,-,-,-,helicase IV,protein-coding,-,-,-,helicase IV,20200629,-
1739607,26633189,CL1_49,CL1_49,-,-,-,-,cAMP-binding protein,protein-coding,-,-,-,cAMP-binding protein,20200629,-
1739607,26633190,CL1_50,CL1_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633191,CL1_51,CL1_51,-,-,-,-,endodeoxyribonuclease,protein-coding,-,-,-,endodeoxyribonuclease,20200629,-
1739607,26633192,CL1_52,CL1_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633193,CL1_53,CL1_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633194,CL1_54,CL1_54,-,-,-,-,putative endodeoxyribonuclease,protein-coding,-,-,-,putative endodeoxyribonuclease,20200629,-
1739607,26633195,CL1_55,CL1_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633196,CL1_56,CL1_56,-,-,-,-,tail tape measure,protein-coding,-,-,-,tail tape measure,20200629,-
1739607,26633197,CL1_57,CL1_57,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200629,-
1739607,26633198,CL1_58,CL1_58,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1739607,26633199,CL1_59,CL1_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1739607,26633200,CL1_60,CL1_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
