#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1124654,14005728,F365_gp02,F365_gp02,-,-,-,-,DUF1382 family protein,protein-coding,-,-,-,DUF1382 family protein,20201221,-
1124654,14005729,F365_gp03,F365_gp03,-,-,-,-,putative adenine methylase,protein-coding,-,-,-,putative adenine methylase,20210424,-
1124654,14005730,F365_gp04,F365_gp04,-,-,-,-,PerC family transcriptional regulator,protein-coding,-,-,-,PerC family transcriptional regulator,20201221,-
1124654,14005731,F365_gp05,F365_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005732,F365_gp06,F365_gp06,-,-,-,-,recombinase RecT,protein-coding,-,-,-,recombinase RecT,20201221,-
1124654,14005733,F365_gp07,F365_gp07,-,-,-,-,PD-(D/E)XK nuclease-like domain-containing protein,protein-coding,-,-,-,PD-(D/E)XK nuclease-like domain-containing protein,20201221,-
1124654,14005734,F365_gp08,F365_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005735,F365_gp09,F365_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005736,F365_gp10,F365_gp10,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1124654,14005737,F365_gp11,F365_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005738,F365_gp12,F365_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005739,F365_gp13,F365_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1124654,14005740,F365_gp14,F365_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005741,F365_gp15,F365_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005742,F365_gp16,F365_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005743,F365_gp17,F365_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005744,F365_gp18,F365_gp18,-,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20201221,-
1124654,14005745,F365_gp19,F365_gp19,-,-,-,-,DUF2591 family protein,protein-coding,-,-,-,DUF2591 family protein,20201221,-
1124654,14005746,F365_gp20,F365_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005747,F365_gp21,F365_gp21,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210129,-
1124654,14005748,F365_gp22,F365_gp22,-,-,-,-,"putative phage terminase, large subunit",protein-coding,-,-,-,"putative phage terminase, large subunit",20200629,-
1124654,14005749,F365_gp23,F365_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005750,F365_gp24,F365_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005751,F365_gp25,F365_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005752,F365_gp26,F365_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005753,F365_gp27,F365_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005754,F365_gp28,F365_gp28,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1124654,14005755,F365_gp29,F365_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005756,F365_gp30,F365_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005757,F365_gp31,F365_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005758,F365_gp32,F365_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005759,F365_gp33,F365_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005760,F365_gp34,F365_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005761,F365_gp35,F365_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005762,F365_gp36,F365_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005763,F365_gp37,F365_gp37,-,-,-,-,lytic transglycosylase,protein-coding,-,-,-,lytic transglycosylase,20200629,-
1124654,14005764,F365_gp38,F365_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005765,F365_gp39,F365_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005766,F365_gp40,F365_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005767,F365_gp41,F365_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005768,F365_gp42,F365_gp42,-,-,-,-,antirepressor N-terminal domain-containing protein,protein-coding,-,-,-,antirepressor N-terminal domain-containing protein,20201221,-
1124654,14005769,F365_gp43,F365_gp43,-,-,-,-,putative transmembrane anchored protein,protein-coding,-,-,-,putative transmembrane anchored protein,20200629,-
1124654,14005770,F365_gp44,F365_gp44,-,-,-,-,type II toxin-antitoxin system YafO family toxin,protein-coding,-,-,-,type II toxin-antitoxin system YafO family toxin,20201221,-
1124654,14005771,F365_gp45,F365_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005772,F365_gp46,F365_gp46,-,-,-,-,Bro-N domain-containing protein,protein-coding,-,-,-,Bro-N domain-containing protein,20201221,-
1124654,14005773,F365_gp47,F365_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005774,F365_gp48,F365_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005775,F365_gp49,F365_gp49,-,-,-,-,acyltransferase,protein-coding,-,-,-,acyltransferase,20201221,-
1124654,14005776,F365_gp50,F365_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005777,F365_gp51,F365_gp51,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20201221,-
1124654,14005778,F365_gp52,F365_gp52,-,-,-,-,glycoside hydrolase family 19 protein,protein-coding,-,-,-,glycoside hydrolase family 19 protein,20201221,-
1124654,14005779,F365_gp53,F365_gp53,-,-,-,-,DUF2514 domain-containing protein,protein-coding,-,-,-,DUF2514 domain-containing protein,20201221,-
1124654,14005780,F365_gp54,F365_gp54,-,-,-,-,DUF5384 family protein,protein-coding,-,-,-,DUF5384 family protein,20210129,-
1124654,14005781,F365_gp55,F365_gp55,-,-,-,-,glycine zipper 2TM domain-containing protein,protein-coding,-,-,-,glycine zipper 2TM domain-containing protein,20210129,-
1124654,14005782,F365_gp56,F365_gp56,-,-,-,-,DUF2633 family protein,protein-coding,-,-,-,DUF2633 family protein,20210129,-
1124654,14005783,F365_gp57,F365_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1124654,14005784,F365_gp01,F365_gp01,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
