#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327956,16835846,P766_gp002,P766_gp002,Ec2_002,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20210129,-
1327956,16835847,P766_gp003,P766_gp003,Ec2_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835848,P766_gp004,P766_gp004,Ec2_004,-,-,-,MoxR ATPase,protein-coding,-,-,-,MoxR ATPase,20210129,-
1327956,16835849,P766_gp005,P766_gp005,Ec2_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835850,P766_gp006,P766_gp006,Ec2_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835851,P766_gp007,P766_gp007,Ec2_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835852,P766_gp008,P766_gp008,Ec2_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835853,P766_gp009,P766_gp009,Ec2_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835854,P766_gp010,P766_gp010,Ec2_0010,-,-,-,putative alpha 1-3 fucosyltransferase,protein-coding,-,-,-,putative alpha 1-3 fucosyltransferase,20200629,-
1327956,16835855,P766_gp011,P766_gp011,Ec2_0011,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200629,-
1327956,16835856,P766_gp012,P766_gp012,Ec2_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835857,P766_gp013,P766_gp013,Ec2_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835858,P766_gp014,P766_gp014,Ec2_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835859,P766_gp015,P766_gp015,Ec2_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835860,P766_gp016,P766_gp016,Ec2_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835861,P766_gp017,P766_gp017,Ec2_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835862,P766_gp018,P766_gp018,Ec2_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835863,P766_gp019,P766_gp019,Ec2_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835864,P766_gp020,P766_gp020,Ec2_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835865,P766_gp021,P766_gp021,Ec2_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835866,P766_gp022,P766_gp022,Ec2_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835867,P766_gp023,P766_gp023,Ec2_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835868,P766_gp024,P766_gp024,Ec2_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835869,P766_gp025,P766_gp025,Ec2_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835870,P766_gp026,P766_gp026,Ec2_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835871,P766_gp027,P766_gp027,Ec2_0027,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1327956,16835872,P766_gp028,P766_gp028,Ec2_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835873,P766_gp029,P766_gp029,Ec2_0029,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1327956,16835874,P766_gp030,P766_gp030,Ec2_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835875,P766_gp031,P766_gp031,Ec2_0031,-,-,-,putative tail fiber assembly protein,protein-coding,-,-,-,putative tail fiber assembly protein,20210123,-
