#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4929,5140937,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Candida guilliermondii (Castell.) Langeron & Guerra, 1938; Endomyces guilliermondii; Pichia gilliermondii; Yamadazyma guilliermondii).",other,-,-,-,-,20190923,-
4929,16792468,trnV(uac),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792469,rns,-,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20130906,-
4929,16792470,nad4,-,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20160903,-
4929,16792471,trnL(uaa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792472,cox2,-,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,-,20160903,-
4929,16792473,nad5,-,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20160903,-
4929,16792474,nad1,-,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20160903,-
4929,16792475,cox1-I4,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20160903,-
4929,16792476,cob,-,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,-,20150520,-
4929,16792477,trnF(gaa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792478,trnL(uag),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792479,trnM(cau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792480,trnI(gau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792481,cox1-I1,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20160903,-
4929,16792482,cox1-I5,-,-,-,MT,-,putative LAGLIDADG endonuclease,protein-coding,-,-,-,-,20160903,-
4929,16792483,cox1,-,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,-,20160903,-
4929,16792484,cox3,-,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,-,20160903,-
4929,16792485,trnM(cau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792486,trnS(gcu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792487,trnR(acg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792488,nad2,-,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20160903,-
4929,16792489,nad3,-,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20160903,-
4929,16792490,trnY(gua),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792491,trnH(gug),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792492,atp6,-,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20150718,-
4929,16792493,trnC(gca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792494,nad4L,-,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20160903,-
4929,16792495,trnA(ugc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792496,cob-I1,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20160903,-
4929,16792497,trnK(uuu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792498,trnQ(uug),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792499,trnD(guc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792500,trnN(guu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792501,nad6,-,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20160903,-
4929,16792502,cox1-I2,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20160903,-
4929,16792503,trnR(ucu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792504,trnW(uca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792505,trnS(uga),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792506,trnE(uuc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792507,trnP(ugg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792508,trnG(ucc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792509,trnM(cau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792510,trnT(ugu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20130906,-
4929,16792511,atp8,-,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20160903,-
4929,16792512,cox1-I3,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20160903,-
4929,16792513,atp9,-,-,-,MT,-,ATP synthase F0 subunit 9,protein-coding,-,-,-,-,20160903,-
4929,16792514,rnl,-,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20130906,-
