#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419971,55006355,2,HOU45_gp02,PBI_ARMSTRONG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
2419971,55006356,3,HOU45_gp03,PBI_ARMSTRONG_3,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210403,-
2419971,55006357,4,HOU45_gp04,PBI_ARMSTRONG_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2419971,55006358,5,HOU45_gp05,PBI_ARMSTRONG_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2419971,55006359,6,HOU45_gp06,PBI_ARMSTRONG_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006360,7,HOU45_gp07,PBI_ARMSTRONG_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
2419971,55006361,8,HOU45_gp08,PBI_ARMSTRONG_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2419971,55006362,9,HOU45_gp09,PBI_ARMSTRONG_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006363,10,HOU45_gp10,PBI_ARMSTRONG_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
2419971,55006364,11,HOU45_gp11,PBI_ARMSTRONG_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2419971,55006365,12,HOU45_gp12,PBI_ARMSTRONG_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2419971,55006366,13,HOU45_gp13,PBI_ARMSTRONG_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2419971,55006367,16,HOU45_gp16,PBI_ARMSTRONG_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2419971,55006368,17,HOU45_gp17,PBI_ARMSTRONG_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2419971,55006369,18,HOU45_gp18,PBI_ARMSTRONG_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2419971,55006370,19,HOU45_gp19,PBI_ARMSTRONG_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2419971,55006371,20,HOU45_gp20,PBI_ARMSTRONG_20,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2419971,55006372,21,HOU45_gp21,PBI_ARMSTRONG_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006373,22,HOU45_gp22,PBI_ARMSTRONG_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2419971,55006374,23,HOU45_gp23,PBI_ARMSTRONG_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006375,24,HOU45_gp24,PBI_ARMSTRONG_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006376,25,HOU45_gp25,PBI_ARMSTRONG_25,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
2419971,55006377,26,HOU45_gp26,PBI_ARMSTRONG_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006378,27,HOU45_gp27,PBI_ARMSTRONG_27,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20200910,-
2419971,55006379,29,HOU45_gp29,PBI_ARMSTRONG_29,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210403,-
2419971,55006380,30,HOU45_gp30,PBI_ARMSTRONG_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419971,55006381,31,HOU45_gp31,PBI_ARMSTRONG_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006382,32,HOU45_gp32,PBI_ARMSTRONG_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006383,33,HOU45_gp33,PBI_ARMSTRONG_33,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210403,-
2419971,55006384,34,HOU45_gp34,PBI_ARMSTRONG_34,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200910,-
2419971,55006385,35,HOU45_gp35,PBI_ARMSTRONG_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006386,36,HOU45_gp36,PBI_ARMSTRONG_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
