#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
208960,18875504,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20140325,-
208960,41794079,F6C48_mgt001,F6C48_mgt001,Fomme_000002,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
208960,41794080,F6C48_mgt002,F6C48_mgt002,Fomme_000003,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
208960,41794081,F6C48_mgt003,F6C48_mgt003,Fomme_000004,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
208960,41794082,F6C48_mgt004,F6C48_mgt004,Fomme_000005,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
208960,41794083,F6C48_mgp081,F6C48_mgp081,Fomme_000006,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20190921,-
208960,41794084,F6C48_mgp080,F6C48_mgp080,Fomme_000045,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
208960,41794085,F6C48_mgp079,F6C48_mgp079,Fomme_000046,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
208960,41794086,F6C48_mgp078,F6C48_mgp078,Fomme_000047,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
208960,41794087,F6C48_mgp077,F6C48_mgp077,Fomme_000048,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
208960,41794088,F6C48_mgp076,F6C48_mgp076,Fomme_000049,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
208960,41794089,F6C48_mgp075,F6C48_mgp075,Fomme_000050,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
208960,41794090,F6C48_mgp074,F6C48_mgp074,Fomme_000051,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
