#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647473,28802560,BH785_gp02,BH785_gp02,GRU3_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201221,-
1647473,28802561,BH785_gp03,BH785_gp03,GRU3_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802562,BH785_gp04,BH785_gp04,GRU3_4,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1647473,28802563,BH785_gp05,BH785_gp05,GRU3_5,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1647473,28802564,BH785_gp06,BH785_gp06,GRU3_6,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647473,28802565,BH785_gp07,BH785_gp07,GRU3_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802566,BH785_gp08,BH785_gp08,GRU3_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802567,BH785_gp09,BH785_gp09,GRU3_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802568,BH785_gp10,BH785_gp10,GRU3_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802569,BH785_gp11,BH785_gp11,GRU3_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802570,BH785_gp12,BH785_gp12,GRU3_12,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1647473,28802571,BH785_gp13,BH785_gp13,GRU3_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802572,BH785_gp14,BH785_gp14,GRU3_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802573,BH785_gp15,BH785_gp15,GRU3_15,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647473,28802574,BH785_gp16,BH785_gp16,GRU3_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802575,BH785_gp17,BH785_gp17,GRU3_17,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20201221,-
1647473,28802576,BH785_gp18,BH785_gp18,GRU3_18,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20201221,-
1647473,28802577,BH785_gp19,BH785_gp19,GRU3_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802578,BH785_gp20,BH785_gp20,GRU3_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802579,BH785_gp21,BH785_gp21,GRU3_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802580,BH785_gp22,BH785_gp22,GRU3_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802581,BH785_gp23,BH785_gp23,GRU3_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802582,BH785_gp24,BH785_gp24,GRU3_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802583,BH785_gp25,BH785_gp25,GRU3_25,-,-,-,putative DNA polymerase III subunit epsilon,protein-coding,-,-,-,putative DNA polymerase III subunit epsilon,20201221,-
1647473,28802584,BH785_gp26,BH785_gp26,GRU3_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647473,28802585,BH785_gp01,BH785_gp01,GRU3_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
