#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2169687,16836071,P748_gp002,P748_gp002,-,-,-,-,NrdA.1 conserved hypothetical protein,protein-coding,-,-,-,NrdA.1 conserved hypothetical protein,20210529,-
2169687,16836072,P748_gp003,P748_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836073,P748_gp004,P748_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836074,P748_gp005,P748_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836075,P748_gp006,P748_gp006,-,-,-,-,phage associated protein,protein-coding,-,-,-,phage associated protein,20200629,-
2169687,16836076,P748_gp007,P748_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836077,P748_gp008,P748_gp008,-,-,-,-,MobD.6 conserved hypothetical phage protein,protein-coding,-,-,-,MobD.6 conserved hypothetical phage protein,20210212,-
2169687,16836078,P748_gp009,P748_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836079,P748_gp010,P748_gp010,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200629,-
2169687,16836080,P748_gp011,P748_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836081,P748_gp012,P748_gp012,-,-,-,-,phage-encoded peptidoglycan binding protein,protein-coding,-,-,-,phage-encoded peptidoglycan binding protein,20200629,-
2169687,16836082,P748_gp013,P748_gp013,-,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20210212,-
2169687,16836083,P748_gp014,P748_gp014,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20200629,-
