#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912975,64871230,KIV60_gp02,KIV60_gp02,SEA_DARTHPHADER_2,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210515,-
1912975,64871231,KIV60_gp03,KIV60_gp03,SEA_DARTHPHADER_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871232,KIV60_gp04,KIV60_gp04,SEA_DARTHPHADER_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1912975,64871233,KIV60_gp05,KIV60_gp05,SEA_DARTHPHADER_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210515,-
1912975,64871234,KIV60_gp06,KIV60_gp06,SEA_DARTHPHADER_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
1912975,64871235,KIV60_gp07,KIV60_gp07,SEA_DARTHPHADER_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871236,KIV60_gp08,KIV60_gp08,SEA_DARTHPHADER_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871237,KIV60_gt01,KIV60_gt01,SEA_DARTHPHADER_9,-,-,-,tRNA,tRNA,-,-,-,-,20210515,-
1912975,64871238,KIV60_gp91,KIV60_gp91,SEA_DARTHPHADER_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871239,KIV60_gp90,KIV60_gp90,SEA_DARTHPHADER_11,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210515,-
1912975,64871240,KIV60_gp89,KIV60_gp89,SEA_DARTHPHADER_12,-,-,-,holin,protein-coding,-,-,-,holin,20210515,-
1912975,64871241,KIV60_gp88,KIV60_gp88,SEA_DARTHPHADER_13,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210515,-
1912975,64871242,KIV60_gp87,KIV60_gp87,SEA_DARTHPHADER_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
1912975,64871243,KIV60_gp86,KIV60_gp86,SEA_DARTHPHADER_15,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210515,-
1912975,64871244,KIV60_gp85,KIV60_gp85,SEA_DARTHPHADER_16,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210515,-
1912975,64871245,KIV60_gp84,KIV60_gp84,SEA_DARTHPHADER_17,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210515,-
1912975,64871246,KIV60_gp83,KIV60_gp83,SEA_DARTHPHADER_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871247,KIV60_gp82,KIV60_gp82,SEA_DARTHPHADER_19,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210515,-
1912975,64871248,KIV60_gp81,KIV60_gp81,SEA_DARTHPHADER_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871249,KIV60_gp80,KIV60_gp80,SEA_DARTHPHADER_21,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210515,-
1912975,64871250,KIV60_gp79,KIV60_gp79,SEA_DARTHPHADER_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871251,KIV60_gp78,KIV60_gp78,SEA_DARTHPHADER_23,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210515,-
1912975,64871252,KIV60_gp77,KIV60_gp77,SEA_DARTHPHADER_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210515,-
1912975,64871253,KIV60_gp75,KIV60_gp75,SEA_DARTHPHADER_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
1912975,64871254,KIV60_gp74,KIV60_gp74,SEA_DARTHPHADER_27,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210515,-
1912975,64871255,KIV60_gp76,KIV60_gp76,SEA_DARTHPHADER_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
1912975,64871256,KIV60_gp73,KIV60_gp73,SEA_DARTHPHADER_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
1912975,64871257,KIV60_gp72,KIV60_gp72,SEA_DARTHPHADER_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
1912975,64871258,KIV60_gp71,KIV60_gp71,SEA_DARTHPHADER_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
1912975,64871259,KIV60_gp70,KIV60_gp70,SEA_DARTHPHADER_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
1912975,64871260,KIV60_gp69,KIV60_gp69,SEA_DARTHPHADER_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
1912975,64871261,KIV60_gp68,KIV60_gp68,SEA_DARTHPHADER_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871262,KIV60_gp67,KIV60_gp67,SEA_DARTHPHADER_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871263,KIV60_gp66,KIV60_gp66,SEA_DARTHPHADER_35,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210515,-
1912975,64871264,KIV60_gp65,KIV60_gp65,SEA_DARTHPHADER_36,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210515,-
1912975,64871265,KIV60_gp64,KIV60_gp64,SEA_DARTHPHADER_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871266,KIV60_gp63,KIV60_gp63,SEA_DARTHPHADER_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871267,KIV60_gp62,KIV60_gp62,SEA_DARTHPHADER_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871268,KIV60_gp61,KIV60_gp61,SEA_DARTHPHADER_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871269,KIV60_gp60,KIV60_gp60,SEA_DARTHPHADER_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871270,KIV60_gp59,KIV60_gp59,SEA_DARTHPHADER_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210515,-
1912975,64871271,KIV60_gp58,KIV60_gp58,SEA_DARTHPHADER_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871272,KIV60_gp57,KIV60_gp57,SEA_DARTHPHADER_44,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1912975,64871273,KIV60_gp56,KIV60_gp56,SEA_DARTHPHADER_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871274,KIV60_gp55,KIV60_gp55,SEA_DARTHPHADER_46,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210515,-
1912975,64871275,KIV60_gp54,KIV60_gp54,SEA_DARTHPHADER_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871276,KIV60_gp53,KIV60_gp53,SEA_DARTHPHADER_48,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210515,-
1912975,64871277,KIV60_gp52,KIV60_gp52,SEA_DARTHPHADER_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871278,KIV60_gp51,KIV60_gp51,SEA_DARTHPHADER_50,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210515,-
1912975,64871279,KIV60_gp50,KIV60_gp50,SEA_DARTHPHADER_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871280,KIV60_gp49,KIV60_gp49,SEA_DARTHPHADER_52,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210515,-
1912975,64871281,KIV60_gp48,KIV60_gp48,SEA_DARTHPHADER_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871282,KIV60_gp47,KIV60_gp47,SEA_DARTHPHADER_54,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210515,-
1912975,64871283,KIV60_gp46,KIV60_gp46,SEA_DARTHPHADER_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871284,KIV60_gp45,KIV60_gp45,SEA_DARTHPHADER_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
1912975,64871285,KIV60_gp44,KIV60_gp44,SEA_DARTHPHADER_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
1912975,64871286,KIV60_gp43,KIV60_gp43,SEA_DARTHPHADER_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871287,KIV60_gp42,KIV60_gp42,SEA_DARTHPHADER_59,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210515,-
1912975,64871288,KIV60_gp41,KIV60_gp41,SEA_DARTHPHADER_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871289,KIV60_gp40,KIV60_gp40,SEA_DARTHPHADER_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871290,KIV60_gp39,KIV60_gp39,SEA_DARTHPHADER_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871291,KIV60_gp38,KIV60_gp38,SEA_DARTHPHADER_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871292,KIV60_gp37,KIV60_gp37,SEA_DARTHPHADER_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871293,KIV60_gp36,KIV60_gp36,SEA_DARTHPHADER_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871294,KIV60_gp35,KIV60_gp35,SEA_DARTHPHADER_66,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210515,-
1912975,64871295,KIV60_gp34,KIV60_gp34,SEA_DARTHPHADER_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871296,KIV60_gp33,KIV60_gp33,SEA_DARTHPHADER_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871297,KIV60_gp32,KIV60_gp32,SEA_DARTHPHADER_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871298,KIV60_gp31,KIV60_gp31,SEA_DARTHPHADER_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871299,KIV60_gp30,KIV60_gp30,SEA_DARTHPHADER_71,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210515,-
1912975,64871300,KIV60_gp29,KIV60_gp29,SEA_DARTHPHADER_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871301,KIV60_gp28,KIV60_gp28,SEA_DARTHPHADER_73,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210515,-
1912975,64871302,KIV60_gp27,KIV60_gp27,SEA_DARTHPHADER_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871303,KIV60_gp26,KIV60_gp26,SEA_DARTHPHADER_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871304,KIV60_gp25,KIV60_gp25,SEA_DARTHPHADER_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871305,KIV60_gp24,KIV60_gp24,SEA_DARTHPHADER_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871306,KIV60_gp23,KIV60_gp23,SEA_DARTHPHADER_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871307,KIV60_gp22,KIV60_gp22,SEA_DARTHPHADER_79,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210515,-
