#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
237631,3926132,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200509,-
237631,23561423,UMAG_00001,UMAG_00001,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561424,UMAG_00002,UMAG_00002,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561425,UMAG_00003,UMAG_00003,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561426,UMAG_00005,UMAG_00005,-,-,1,-,putative Benzoate 4-monooxygenase cytochrome P450,protein-coding,-,-,-,putative Benzoate 4-monooxygenase cytochrome P450,20200918,-
237631,23561427,UMAG_00006,UMAG_00006,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561428,UMAG_00007,UMAG_00007,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561429,UMAG_00008,UMAG_00008,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561430,UMAG_00009,UMAG_00009,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561431,UMAG_00011,UMAG_00011,-,-,1,-,putative amidase,protein-coding,-,-,-,putative amidase,20200918,-
237631,23561432,UMAG_00012,UMAG_00012,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561433,UMAG_00013,UMAG_00013,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561434,UMAG_00017,UMAG_00017,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561435,UMAG_00020,UMAG_00020,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561436,UMAG_00025,UMAG_00025,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561437,UMAG_00026,UMAG_00026,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561438,UMAG_00027,UMAG_00027,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561439,UMAG_00028,UMAG_00028,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561440,UMAG_00029,UMAG_00029,-,-,1,-,putative myo-inositol oxygenase,protein-coding,-,-,-,putative myo-inositol oxygenase,20200918,-
237631,23561441,UMAG_00030,UMAG_00030,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561442,UMAG_00031,UMAG_00031,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201024,-
237631,23561443,UMAG_00032,UMAG_00032,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561444,UMAG_00034,UMAG_00034,-,-,1,-,putative mfs-multidrug-resistance transporter,protein-coding,-,-,-,putative mfs-multidrug-resistance transporter,20200918,-
237631,23561445,UMAG_00036,UMAG_00036,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561446,UMAG_00037,UMAG_00037,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561447,UMAG_00038,UMAG_00038,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561448,UMAG_00039,UMAG_00039,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561449,UMAG_00040,UMAG_00040,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561450,UMAG_00041,UMAG_00041,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561451,UMAG_00042,UMAG_00042,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561452,UMAG_00043,UMAG_00043,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561453,UMAG_00045,UMAG_00045,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
237631,23561454,UMAG_00046,UMAG_00046,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
