#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2716728,65053834,KMB92_gp001,KMB92_gp001,PhiZZ6_001,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20210608,-
2716728,65053835,KMB92_gp002,KMB92_gp002,PhiZZ6_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053836,KMB92_gp003,KMB92_gp003,PhiZZ6_003,-,-,-,DNA gyrase subunit B,protein-coding,-,-,-,DNA gyrase subunit B,20210609,-
2716728,65053837,KMB92_gp004,KMB92_gp004,PhiZZ6_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053838,KMB92_gp005,KMB92_gp005,PhiZZ6_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053839,KMB92_gp006,KMB92_gp006,PhiZZ6_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053840,KMB92_gp007,KMB92_gp007,PhiZZ6_007,-,-,-,mRNA metabolism modulator,protein-coding,-,-,-,mRNA metabolism modulator,20210608,-
2716728,65053841,KMB92_gp008,KMB92_gp008,PhiZZ6_008,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20210608,-
2716728,65053842,KMB92_gp009,KMB92_gp009,PhiZZ6_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053843,KMB92_gp010,KMB92_gp010,PhiZZ6_010,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2716728,65053844,KMB92_gp011,KMB92_gp011,PhiZZ6_011,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2716728,65053845,KMB92_gp012,KMB92_gp012,PhiZZ6_012,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2716728,65053846,KMB92_gp013,KMB92_gp013,PhiZZ6_013,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210608,-
2716728,65053847,KMB92_gp014,KMB92_gp014,PhiZZ6_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053848,KMB92_gp015,KMB92_gp015,PhiZZ6_015,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2716728,65053849,KMB92_gp016,KMB92_gp016,PhiZZ6_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053850,KMB92_gp017,KMB92_gp017,PhiZZ6_017,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2716728,65053851,KMB92_gp018,KMB92_gp018,PhiZZ6_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053852,KMB92_gp019,KMB92_gp019,PhiZZ6_019,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210608,-
2716728,65053853,KMB92_gp020,KMB92_gp020,PhiZZ6_020,-,-,-,ModA,protein-coding,-,-,-,ModA,20210608,-
