#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483669,63026389,2,J1765_gp02,SEA_GAEA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2483669,63026390,3,J1765_gp03,SEA_GAEA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026391,4,J1765_gp04,SEA_GAEA_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026392,5,J1765_gp05,SEA_GAEA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026393,6,J1765_gp06,SEA_GAEA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026394,7,J1765_gp07,SEA_GAEA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026395,8,J1765_gp08,SEA_GAEA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026396,9,J1765_gp09,SEA_GAEA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026397,10,J1765_gp10,SEA_GAEA_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210417,-
2483669,63026398,11,J1765_gp11,SEA_GAEA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2483669,63026399,12,J1765_gp12,SEA_GAEA_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2483669,63026400,13,J1765_gp13,SEA_GAEA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026401,14,J1765_gp14,SEA_GAEA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026402,15,J1765_gp15,SEA_GAEA_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
