#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
213782,55803261,HYO73_gp02,HYO73_gp02,fd13_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210417,-
213782,55803262,HYO73_gp03,HYO73_gp03,fd13_003,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200926,-
213782,55803263,HYO73_gp04,HYO73_gp04,fd13_004,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210417,-
213782,55803264,HYO73_gp05,HYO73_gp05,fd13_005,-,-,-,putative head protease,protein-coding,-,-,-,putative head protease,20210417,-
213782,55803265,HYO73_gp06,HYO73_gp06,fd13_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803266,HYO73_gp07,HYO73_gp07,fd13_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803267,HYO73_gp08,HYO73_gp08,fd13_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803268,HYO73_gp09,HYO73_gp09,fd13_009,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
213782,55803269,HYO73_gp10,HYO73_gp10,fd13_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803270,HYO73_gp11,HYO73_gp11,fd13_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803271,HYO73_gp12,HYO73_gp12,fd13_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213782,55803272,HYO73_gp13,HYO73_gp13,fd13_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213782,55803273,HYO73_gp14,HYO73_gp14,fd13_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803274,HYO73_gp15,HYO73_gp15,fd13_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803275,HYO73_gp16,HYO73_gp16,fd13_0016,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20210417,-
213782,55803276,HYO73_gp17,HYO73_gp17,fd13_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213782,55803277,HYO73_gp18,HYO73_gp18,fd13_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213782,55803278,HYO73_gp19,HYO73_gp19,fd13_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803279,HYO73_gp20,HYO73_gp20,fd13_0020,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20210417,-
213782,55803280,HYO73_gp21,HYO73_gp21,fd13_0021,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200704,-
213782,55803281,HYO73_gp22,HYO73_gp22,fd13_0022,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210417,-
213782,55803282,HYO73_gp23,HYO73_gp23,fd13_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803283,HYO73_gp24,HYO73_gp24,fd13_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803284,HYO73_gp25,HYO73_gp25,fd13_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803285,HYO73_gp26,HYO73_gp26,fd13_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803286,HYO73_gp27,HYO73_gp27,fd13_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803287,HYO73_gp28,HYO73_gp28,fd13_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803288,HYO73_gp29,HYO73_gp29,fd13_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803289,HYO73_gp30,HYO73_gp30,fd13_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803290,HYO73_gp31,HYO73_gp31,fd13_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213782,55803291,HYO73_gp32,HYO73_gp32,fd13_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803292,HYO73_gp33,HYO73_gp33,fd13_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213782,55803293,HYO73_gp34,HYO73_gp34,fd13_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803294,HYO73_gp35,HYO73_gp35,fd13_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803295,HYO73_gp36,HYO73_gp36,fd13_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803296,HYO73_gp37,HYO73_gp37,fd13_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803297,HYO73_gp38,HYO73_gp38,fd13_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213782,55803298,HYO73_gp39,HYO73_gp39,fd13_0039,-,-,-,putative sak protein,protein-coding,-,-,-,putative sak protein,20210417,-
213782,55803299,HYO73_gp40,HYO73_gp40,fd13_0040,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200704,-
213782,55803300,HYO73_gp41,HYO73_gp41,fd13_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803301,HYO73_gp42,HYO73_gp42,fd13_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803302,HYO73_gp43,HYO73_gp43,fd13_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803303,HYO73_gp44,HYO73_gp44,fd13_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803304,HYO73_gp45,HYO73_gp45,fd13_0045,-,-,-,putative DNA polymerase subunit,protein-coding,-,-,-,putative DNA polymerase subunit,20210417,-
213782,55803305,HYO73_gp46,HYO73_gp46,fd13_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803306,HYO73_gp47,HYO73_gp47,fd13_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803307,HYO73_gp48,HYO73_gp48,fd13_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803308,HYO73_gp49,HYO73_gp49,fd13_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803309,HYO73_gp50,HYO73_gp50,fd13_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803310,HYO73_gp51,HYO73_gp51,fd13_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803311,HYO73_gp52,HYO73_gp52,fd13_0052,-,-,-,putative holliday junction endonuclease,protein-coding,-,-,-,putative holliday junction endonuclease,20210417,-
213782,55803312,HYO73_gp53,HYO73_gp53,fd13_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213782,55803313,HYO73_gp01,HYO73_gp01,fd13_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210417,-
213782,55863327,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus bacteriophage fd13; Lactococcus lactis phage fd13).,other,-,-,-,-,20200706,-
