#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301701,55611251,2,HWB85_gp002,SEA_RENAUD18_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200620,-
2301701,55611252,3,HWB85_gp003,SEA_RENAUD18_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2301701,55611253,4,HWB85_gp004,SEA_RENAUD18_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200620,-
2301701,55611254,5,HWB85_gp005,SEA_RENAUD18_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200620,-
2301701,55611255,6,HWB85_gp006,SEA_RENAUD18_6,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20200620,-
2301701,55611256,7,HWB85_gp007,SEA_RENAUD18_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2301701,55611257,8,HWB85_gp008,SEA_RENAUD18_8,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200620,-
2301701,55611258,9,HWB85_gp009,SEA_RENAUD18_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200620,-
2301701,55611259,10,HWB85_gp010,SEA_RENAUD18_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301701,55611260,11,HWB85_gp011,SEA_RENAUD18_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2301701,55611261,12,HWB85_gp012,SEA_RENAUD18_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200620,-
2301701,55611262,14,HWB85_gp013,SEA_RENAUD18_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2301701,55611263,15,HWB85_gp015,SEA_RENAUD18_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2301701,55611264,13,HWB85_gp014,SEA_RENAUD18_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2301701,55611265,16,HWB85_gp016,SEA_RENAUD18_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2301701,55611266,17,HWB85_gp017,SEA_RENAUD18_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2301701,55611267,18,HWB85_gp018,SEA_RENAUD18_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2301701,55611268,19,HWB85_gp019,SEA_RENAUD18_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2301701,55611269,20,HWB85_gp020,SEA_RENAUD18_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2301701,55611270,21,HWB85_gp021,SEA_RENAUD18_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2301701,55611271,22,HWB85_gp022,SEA_RENAUD18_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2301701,55611272,23,HWB85_gp023,SEA_RENAUD18_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611273,24,HWB85_gp024,SEA_RENAUD18_24,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2301701,55611274,25,HWB85_gp025,SEA_RENAUD18_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2301701,55611275,26,HWB85_gp026,SEA_RENAUD18_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611276,27,HWB85_gp027,SEA_RENAUD18_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611277,28,HWB85_gp028,SEA_RENAUD18_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611278,29,HWB85_gp029,SEA_RENAUD18_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611279,30,HWB85_gp030,SEA_RENAUD18_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2301701,55611280,31,HWB85_gp031,SEA_RENAUD18_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200620,-
2301701,55611281,32,HWB85_gp032,SEA_RENAUD18_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2301701,55611282,33,HWB85_gp033,SEA_RENAUD18_33,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201003,-
2301701,55611283,34,HWB85_gp034,SEA_RENAUD18_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611284,35,HWB85_gp035,SEA_RENAUD18_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210417,-
2301701,55611285,36,HWB85_gp036,SEA_RENAUD18_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611286,38,HWB85_gp038,SEA_RENAUD18_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2301701,55611287,39,HWB85_gp039,SEA_RENAUD18_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611288,40,HWB85_gp040,SEA_RENAUD18_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611289,41,HWB85_gp041,SEA_RENAUD18_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301701,55611290,42,HWB85_gp042,SEA_RENAUD18_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611291,43,HWB85_gp043,SEA_RENAUD18_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611292,44,HWB85_gp044,SEA_RENAUD18_44,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20200620,-
2301701,55611293,45,HWB85_gp045,SEA_RENAUD18_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611294,46,HWB85_gp046,SEA_RENAUD18_46,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2301701,55611295,47,HWB85_gp047,SEA_RENAUD18_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611296,48,HWB85_gp048,SEA_RENAUD18_48,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200620,-
2301701,55611297,50,HWB85_gp050,SEA_RENAUD18_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611298,52,HWB85_gp052,SEA_RENAUD18_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611299,53,HWB85_gp053,SEA_RENAUD18_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611300,54,HWB85_gp054,SEA_RENAUD18_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611301,56,HWB85_gp056,SEA_RENAUD18_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611302,57,HWB85_gp057,SEA_RENAUD18_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611303,58,HWB85_gp058,SEA_RENAUD18_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611304,59,HWB85_gp059,SEA_RENAUD18_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611305,60,HWB85_gp060,SEA_RENAUD18_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611306,61,HWB85_gp061,SEA_RENAUD18_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301701,55611307,62,HWB85_gp062,SEA_RENAUD18_62,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301701,55611308,63,HWB85_gp063,SEA_RENAUD18_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2301701,55611309,64,HWB85_gp064,SEA_RENAUD18_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2301701,55611310,65,HWB85_gp065,SEA_RENAUD18_65,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2301701,55611311,66,HWB85_gp066,SEA_RENAUD18_66,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
