#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653274,65122445,2,KNU77_gp02,SEA_KEITABEAR_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2653274,65122446,3,KNU77_gp03,SEA_KEITABEAR_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122447,4,KNU77_gp04,SEA_KEITABEAR_4,-,-,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210608,-
2653274,65122448,5,KNU77_gp05,SEA_KEITABEAR_5,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210608,-
2653274,65122449,6,KNU77_gp06,SEA_KEITABEAR_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122450,7,KNU77_gp07,SEA_KEITABEAR_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122451,8,KNU77_gp08,SEA_KEITABEAR_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122452,9,KNU77_gp09,SEA_KEITABEAR_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122453,10,KNU77_gp10,SEA_KEITABEAR_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210608,-
2653274,65122454,11,KNU77_gp11,SEA_KEITABEAR_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122455,12,KNU77_gp12,SEA_KEITABEAR_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122456,13,KNU77_gp13,SEA_KEITABEAR_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2653274,65122457,14,KNU77_gp14,SEA_KEITABEAR_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122458,15,KNU77_gp15,SEA_KEITABEAR_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122459,16,KNU77_gp16,SEA_KEITABEAR_16,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210608,-
2653274,65122460,17,KNU77_gp17,SEA_KEITABEAR_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122461,18,KNU77_gp18,SEA_KEITABEAR_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210608,-
2653274,65122462,19,KNU77_gp19,SEA_KEITABEAR_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122463,20,KNU77_gp20,SEA_KEITABEAR_20,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2653274,65122464,21,KNU77_gp21,SEA_KEITABEAR_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122465,22,KNU77_gp22,SEA_KEITABEAR_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122466,23,KNU77_gp23,SEA_KEITABEAR_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122467,24,KNU77_gp24,SEA_KEITABEAR_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122468,25,KNU77_gp25,SEA_KEITABEAR_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2653274,65122469,26,KNU77_gp26,SEA_KEITABEAR_26,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210608,-
