#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713256,55816723,2,HYQ28_gp02,SEA_ABBA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210129,-
2713256,55816724,3,HYQ28_gp03,SEA_ABBA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210129,-
2713256,55816725,4,HYQ28_gp04,SEA_ABBA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210129,-
2713256,55816726,5,HYQ28_gp05,SEA_ABBA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816727,6,HYQ28_gp06,SEA_ABBA_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210129,-
2713256,55816728,7,HYQ28_gp07,SEA_ABBA_7,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20200704,-
2713256,55816729,8,HYQ28_gp08,SEA_ABBA_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2713256,55816730,9,HYQ28_gp09,SEA_ABBA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816731,10,HYQ28_gp10,SEA_ABBA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816732,11,HYQ28_gp11,SEA_ABBA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713256,55816733,12,HYQ28_gp12,SEA_ABBA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816734,13,HYQ28_gp13,SEA_ABBA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816735,14,HYQ28_gp14,SEA_ABBA_14,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210129,-
2713256,55816736,15,HYQ28_gp15,SEA_ABBA_15,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200704,-
2713256,55816737,16,HYQ28_gp16,SEA_ABBA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816738,17,HYQ28_gp17,SEA_ABBA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816739,18,HYQ28_gp18,SEA_ABBA_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210129,-
2713256,55816740,19,HYQ28_gp19,SEA_ABBA_19,-,-,-,LysM-like endolysin,protein-coding,-,-,-,LysM-like endolysin,20210129,-
2713256,55816741,20,HYQ28_gp20,SEA_ABBA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2713256,55816742,21,HYQ28_gp21,SEA_ABBA_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816743,22,HYQ28_gp22,SEA_ABBA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2713256,55816744,23,HYQ28_gp23,SEA_ABBA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2713256,55816745,24,HYQ28_gp24,SEA_ABBA_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2713256,55816746,25,HYQ28_gp25,SEA_ABBA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816747,26,HYQ28_gp26,SEA_ABBA_26,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2713256,55816748,27,HYQ28_gp27,SEA_ABBA_27,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210129,-
2713256,55816749,28,HYQ28_gp28,SEA_ABBA_28,-,-,-,"lysin A, protease M23 domain",protein-coding,-,-,-,"lysin A, protease M23 domain",20210129,-
2713256,55816750,29,HYQ28_gp29,SEA_ABBA_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2713256,55816751,30,HYQ28_gp30,SEA_ABBA_30,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210129,-
2713256,55816752,31,HYQ28_gp31,SEA_ABBA_31,-,-,-,baseplate J protein,protein-coding,-,-,-,baseplate J protein,20210129,-
2713256,55816753,32,HYQ28_gp32,SEA_ABBA_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200704,-
2713256,55816754,33,HYQ28_gp33,SEA_ABBA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816755,34,HYQ28_gp34,SEA_ABBA_34,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2713256,55816756,35,HYQ28_gp35,SEA_ABBA_35,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
2713256,55816757,36,HYQ28_gp36,SEA_ABBA_36,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210129,-
2713256,55816758,37,HYQ28_gp37,SEA_ABBA_37,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210129,-
2713256,55816759,38,HYQ28_gp38,SEA_ABBA_38,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210129,-
2713256,55816760,39,HYQ28_gp39,SEA_ABBA_39,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2713256,55816761,40,HYQ28_gp40,SEA_ABBA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816762,41,HYQ28_gp41,SEA_ABBA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816763,42,HYQ28_gp42,SEA_ABBA_42,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20200704,-
2713256,55816764,43,HYQ28_gp43,SEA_ABBA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816765,44,HYQ28_gp44,SEA_ABBA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816766,45,HYQ28_gp45,SEA_ABBA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816767,46,HYQ28_gp46,SEA_ABBA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816768,47,HYQ28_gp47,SEA_ABBA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816769,48,HYQ28_gp48,SEA_ABBA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816770,49,HYQ28_gp49,SEA_ABBA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816771,50,HYQ28_gp50,SEA_ABBA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
