#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1138383,11933450,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Mycobacterium intracellulare genotype INT-1.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200408,-
1138383,45452303,dnaA,OCQ_RS00005,OCQ_00010,-,-,-,chromosomal replication initiator protein DnaA,protein-coding,-,-,-,chromosomal replication initiator protein DnaA,20210201,-
1138383,45452304,dnaN,OCQ_RS00010,OCQ_00020,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20210201,-
1138383,45452305,recF,OCQ_RS00015,OCQ_00030,-,-,-,DNA replication/repair protein RecF,protein-coding,-,-,-,DNA replication/repair protein RecF,20210201,-
1138383,45452306,OCQ_RS00020,OCQ_RS00020,OCQ_00040,-,-,-,pseudo,pseudo,-,-,-,-,20210128,-
1138383,45452307,gyrB,OCQ_RS00025,OCQ_00050,-,-,-,DNA topoisomerase (ATP-hydrolyzing) subunit B,protein-coding,-,-,-,DNA topoisomerase (ATP-hydrolyzing) subunit B,20210129,-
1138383,45452308,gyrA,OCQ_RS00030,OCQ_00060,-,-,-,intein-containing DNA gyrase subunit A,protein-coding,-,-,-,intein-containing DNA gyrase subunit A,20210129,-
1138383,45452309,OCQ_RS00035,OCQ_RS00035,OCQ_00070,-,-,-,DUF3566 domain-containing protein,protein-coding,-,-,-,DUF3566 domain-containing protein,20210201,-
1138383,45452310,OCQ_RS00040,OCQ_RS00040,OCQ_t00010,-,-,-,tRNA,tRNA,-,-,-,-,20210128,-
1138383,45452311,OCQ_RS00045,OCQ_RS00045,OCQ_t00020,-,-,-,tRNA,tRNA,-,-,-,-,20210128,-
1138383,45452312,OCQ_RS00050,OCQ_RS00050,OCQ_00080,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210201,-
1138383,45452313,OCQ_RS00055,OCQ_RS00055,OCQ_00090,-,-,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210129,-
1138383,45452314,cwsA,OCQ_RS00060,OCQ_00100,-,-,-,cell wall synthesis protein CwsA,protein-coding,-,-,-,cell wall synthesis protein CwsA,20210129,-
1138383,45452315,OCQ_RS00065,OCQ_RS00065,OCQ_00110,-,-,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20210129,-
1138383,45452316,crgA,OCQ_RS00075,OCQ_00130,-,-,-,cell division protein CrgA,protein-coding,-,-,-,cell division protein CrgA,20210201,-
1138383,45452317,OCQ_RS00080,OCQ_RS00080,OCQ_00140,-,-,-,DUF881 domain-containing protein,protein-coding,-,-,-,DUF881 domain-containing protein,20210201,-
1138383,45452318,OCQ_RS00085,OCQ_RS00085,OCQ_00150,-,-,-,aminodeoxychorismate/anthranilate synthase component II,protein-coding,-,-,-,aminodeoxychorismate/anthranilate synthase component II,20210201,-
1138383,45452319,pknB,OCQ_RS00090,OCQ_00160,-,-,-,Stk1 family PASTA domain-containing Ser/Thr kinase,protein-coding,-,-,-,Stk1 family PASTA domain-containing Ser/Thr kinase,20210201,-
1138383,45452320,OCQ_RS00095,OCQ_RS00095,OCQ_00170,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20210201,-
1138383,45452321,pbpA,OCQ_RS00100,OCQ_00180,-,-,-,"D,D-transpeptidase PbpA",protein-coding,-,-,-,"D,D-transpeptidase PbpA",20210201,-
1138383,45452322,OCQ_RS00105,OCQ_RS00105,OCQ_00190,-,-,-,FtsW/RodA/SpoVE family cell cycle protein,protein-coding,-,-,-,FtsW/RodA/SpoVE family cell cycle protein,20210201,-
1138383,45452323,OCQ_RS00110,OCQ_RS00110,OCQ_00200,-,-,-,serine/threonine-protein phosphatase,protein-coding,-,-,-,serine/threonine-protein phosphatase,20210203,-
1138383,45452324,OCQ_RS00115,OCQ_RS00115,OCQ_00210,-,-,-,FHA domain-containing protein,protein-coding,-,-,-,FHA domain-containing protein,20210201,-
1138383,45452325,OCQ_RS00120,OCQ_RS00120,OCQ_00220,-,-,-,DUF3662 domain-containing protein,protein-coding,-,-,-,DUF3662 domain-containing protein,20210201,-
1138383,45452326,OCQ_RS00125,OCQ_RS00125,OCQ_t00030,-,-,-,tRNA,tRNA,-,-,-,-,20210128,-
1138383,45452327,OCQ_RS00130,OCQ_RS00130,OCQ_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452328,OCQ_RS00135,OCQ_RS00135,OCQ_00240,-,-,-,nuclear transport factor 2 family protein,protein-coding,-,-,-,nuclear transport factor 2 family protein,20210129,-
1138383,45452329,OCQ_RS00140,OCQ_RS00140,OCQ_00250,-,-,-,DinB family protein,protein-coding,-,-,-,DinB family protein,20210201,-
1138383,45452330,OCQ_RS00145,OCQ_RS00145,OCQ_00260,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210201,-
1138383,45452331,mbtM,OCQ_RS00150,OCQ_00270,-,-,-,long-chain-fatty acid--ACP ligase MbtM,protein-coding,-,-,-,long-chain-fatty acid--ACP ligase MbtM,20210201,-
1138383,45452332,OCQ_RS00155,OCQ_RS00155,OCQ_00280,-,-,-,acetyltransferase,protein-coding,-,-,-,acetyltransferase,20210129,-
