#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1690426,40092925,FDI80_gp02,FDI80_gp02,SEA_AARONOCOLUS_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1690426,40092926,FDI80_gp03,FDI80_gp03,SEA_AARONOCOLUS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092927,FDI80_gp04,FDI80_gp04,SEA_AARONOCOLUS_4,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201221,-
1690426,40092928,FDI80_gp05,FDI80_gp05,SEA_AARONOCOLUS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092929,FDI80_gp06,FDI80_gp06,SEA_AARONOCOLUS_6,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1690426,40092930,FDI80_gp07,FDI80_gp07,SEA_AARONOCOLUS_7,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1690426,40092931,FDI80_gp08,FDI80_gp08,SEA_AARONOCOLUS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092932,FDI80_gp09,FDI80_gp09,SEA_AARONOCOLUS_9,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1690426,40092933,FDI80_gp10,FDI80_gp10,SEA_AARONOCOLUS_10,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1690426,40092934,FDI80_gp11,FDI80_gp11,SEA_AARONOCOLUS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092935,FDI80_gp12,FDI80_gp12,SEA_AARONOCOLUS_12,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20201221,-
1690426,40092936,FDI80_gp13,FDI80_gp13,SEA_AARONOCOLUS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092937,FDI80_gp14,FDI80_gp14,SEA_AARONOCOLUS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092938,FDI80_gp15,FDI80_gp15,SEA_AARONOCOLUS_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092939,FDI80_gp16,FDI80_gp16,SEA_AARONOCOLUS_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1690426,40092940,FDI80_gp18,FDI80_gp18,SEA_AARONOCOLUS_18,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1690426,40092941,FDI80_gp17,FDI80_gp17,SEA_AARONOCOLUS_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1690426,40092942,FDI80_gp19,FDI80_gp19,SEA_AARONOCOLUS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092943,FDI80_gp20,FDI80_gp20,SEA_AARONOCOLUS_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092944,FDI80_gp21,FDI80_gp21,SEA_AARONOCOLUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092945,FDI80_gp22,FDI80_gp22,SEA_AARONOCOLUS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092946,FDI80_gp23,FDI80_gp23,SEA_AARONOCOLUS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092947,FDI80_gp24,FDI80_gp24,SEA_AARONOCOLUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092948,FDI80_gp25,FDI80_gp25,SEA_AARONOCOLUS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092949,FDI80_gp26,FDI80_gp26,SEA_AARONOCOLUS_26,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1690426,40092950,FDI80_gp27,FDI80_gp27,SEA_AARONOCOLUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092951,FDI80_gp28,FDI80_gp28,SEA_AARONOCOLUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092952,FDI80_gp29,FDI80_gp29,SEA_AARONOCOLUS_29,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
