#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074304,18561558,2,CL64_gp02,LIEFIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210208,-
1074304,18561559,3,CL64_gp03,LIEFIE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210208,-
1074304,18561560,4,CL64_gp04,LIEFIE_4,-,-,-,protease,protein-coding,-,-,-,protease,20210208,-
1074304,18561561,5,CL64_gp05,LIEFIE_5,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20210208,-
1074304,18561562,6,CL64_gp06,LIEFIE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561563,7,CL64_gp07,LIEFIE_7,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210424,-
1074304,18561564,8,CL64_gp08,LIEFIE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561565,9,CL64_gp09,LIEFIE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561566,10,CL64_gp10,LIEFIE_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210208,-
1074304,18561567,11,CL64_gp11,LIEFIE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561568,12,CL64_gp12,LIEFIE_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210208,-
1074304,18561569,13,CL64_gp13,LIEFIE_13,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20210208,-
1074304,18561570,15,CL64_gp14,LIEFIE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210208,-
1074304,18561571,16,CL64_gp16,LIEFIE_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210208,-
1074304,18561572,14,CL64_gp15,LIEFIE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210208,-
1074304,18561573,17,CL64_gp17,LIEFIE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561574,18,CL64_gp18,LIEFIE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1074304,18561575,19,CL64_gp19,LIEFIE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561576,20,CL64_gp20,LIEFIE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561577,21,CL64_gp21,LIEFIE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561578,22,CL64_gp22,LIEFIE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561579,23,CL64_gp23,LIEFIE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561580,24,CL64_gp24,LIEFIE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561581,25,CL64_gp25,LIEFIE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561582,26,CL64_gp26,LIEFIE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561583,27,CL64_gp27,LIEFIE_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1074304,18561584,28,CL64_gp28,LIEFIE_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210208,-
1074304,18561585,29,CL64_gp29,LIEFIE_29,-,-,-,holin,protein-coding,-,-,-,holin,20210208,-
1074304,18561586,30,CL64_gp30,LIEFIE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561587,31,CL64_gp31,LIEFIE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561588,32,CL64_gp32,LIEFIE_32,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1074304,18561589,33,CL64_gp33,LIEFIE_33,-,-,-,repressor,protein-coding,-,-,-,repressor,20210208,-
1074304,18561590,34,CL64_gp34,LIEFIE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1074304,18561591,35,CL64_gp35,LIEFIE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561592,36,CL64_gp36,LIEFIE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561593,37,CL64_gp37,LIEFIE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561594,38,CL64_gp38,LIEFIE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561595,39,CL64_gp39,LIEFIE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561596,40,CL64_gp40,LIEFIE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561597,41,CL64_gp41,LIEFIE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561598,42,CL64_gp42,LIEFIE_42,-,-,-,RecE,protein-coding,-,-,-,RecE,20210208,-
1074304,18561599,43,CL64_gp43,LIEFIE_43,-,-,-,RecT,protein-coding,-,-,-,RecT,20210208,-
1074304,18561600,44,CL64_gp44,LIEFIE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561601,45,CL64_gp45,LIEFIE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561602,46,CL64_gp46,LIEFIE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561603,47,CL64_gp47,LIEFIE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561604,48,CL64_gp48,LIEFIE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561605,49,CL64_gp49,LIEFIE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561606,50,CL64_gp50,LIEFIE_50,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20210208,-
1074304,18561607,51,CL64_gp51,LIEFIE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561608,52,CL64_gp52,LIEFIE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561609,53,CL64_gp53,LIEFIE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561610,54,CL64_gp54,LIEFIE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561611,55,CL64_gp55,LIEFIE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1074304,18561612,56,CL64_gp56,LIEFIE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
