#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024302,63925963,KDW73_gp02,KDW73_gp02,SEA_AVOCADO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210422,-
2024302,63925964,KDW73_gp03,KDW73_gp03,SEA_AVOCADO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210422,-
2024302,63925965,KDW73_gp04,KDW73_gp04,SEA_AVOCADO_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210422,-
2024302,63925966,KDW73_gp05,KDW73_gp05,SEA_AVOCADO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925967,KDW73_gp06,KDW73_gp06,SEA_AVOCADO_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210422,-
2024302,63925968,KDW73_gp07,KDW73_gp07,SEA_AVOCADO_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210422,-
2024302,63925969,KDW73_gp08,KDW73_gp08,SEA_AVOCADO_8,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210422,-
2024302,63925970,KDW73_gp09,KDW73_gp09,SEA_AVOCADO_9,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210422,-
2024302,63925971,KDW73_gp10,KDW73_gp10,SEA_AVOCADO_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210422,-
2024302,63925972,KDW73_gp11,KDW73_gp11,SEA_AVOCADO_11,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210422,-
2024302,63925973,KDW73_gp12,KDW73_gp12,SEA_AVOCADO_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210422,-
2024302,63925974,KDW73_gp13,KDW73_gp13,SEA_AVOCADO_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210422,-
2024302,63925975,KDW73_gp14,KDW73_gp14,SEA_AVOCADO_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2024302,63925976,KDW73_gp16,KDW73_gp16,SEA_AVOCADO_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210422,-
2024302,63925977,KDW73_gp15,KDW73_gp15,SEA_AVOCADO_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2024302,63925978,KDW73_gp17,KDW73_gp17,SEA_AVOCADO_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2024302,63925979,KDW73_gp18,KDW73_gp18,SEA_AVOCADO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2024302,63925980,KDW73_gp19,KDW73_gp19,SEA_AVOCADO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2024302,63925981,KDW73_gp20,KDW73_gp20,SEA_AVOCADO_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2024302,63925982,KDW73_gp21,KDW73_gp21,SEA_AVOCADO_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2024302,63925983,KDW73_gp22,KDW73_gp22,SEA_AVOCADO_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2024302,63925984,KDW73_gp23,KDW73_gp23,SEA_AVOCADO_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2024302,63925985,KDW73_gp24,KDW73_gp24,SEA_AVOCADO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925986,KDW73_gp25,KDW73_gp25,SEA_AVOCADO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925987,KDW73_gp26,KDW73_gp26,SEA_AVOCADO_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210422,-
2024302,63925988,KDW73_gp27,KDW73_gp27,SEA_AVOCADO_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210422,-
2024302,63925989,KDW73_gp28,KDW73_gp28,SEA_AVOCADO_28,-,-,-,holin,protein-coding,-,-,-,holin,20210422,-
2024302,63925990,KDW73_gp29,KDW73_gp29,SEA_AVOCADO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925991,KDW73_gp30,KDW73_gp30,SEA_AVOCADO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925992,KDW73_gp31,KDW73_gp31,SEA_AVOCADO_31,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210422,-
2024302,63925993,KDW73_gp32,KDW73_gp32,SEA_AVOCADO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925994,KDW73_gp33,KDW73_gp33,SEA_AVOCADO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925995,KDW73_gp34,KDW73_gp34,SEA_AVOCADO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925996,KDW73_gp35,KDW73_gp35,SEA_AVOCADO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925997,KDW73_gp36,KDW73_gp36,SEA_AVOCADO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925998,KDW73_gp37,KDW73_gp37,SEA_AVOCADO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63925999,KDW73_gp38,KDW73_gp38,SEA_AVOCADO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926000,KDW73_gp40,KDW73_gp40,SEA_AVOCADO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926001,KDW73_gp41,KDW73_gp41,SEA_AVOCADO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926002,KDW73_gp42,KDW73_gp42,SEA_AVOCADO_42,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210422,-
2024302,63926003,KDW73_gp43,KDW73_gp43,SEA_AVOCADO_43,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210422,-
2024302,63926004,KDW73_gp44,KDW73_gp44,SEA_AVOCADO_44,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210422,-
2024302,63926005,KDW73_gp45,KDW73_gp45,SEA_AVOCADO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926006,KDW73_gp46,KDW73_gp46,SEA_AVOCADO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926007,KDW73_gp47,KDW73_gp47,SEA_AVOCADO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926008,KDW73_gp48,KDW73_gp48,SEA_AVOCADO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926009,KDW73_gp49,KDW73_gp49,SEA_AVOCADO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926010,KDW73_gp50,KDW73_gp50,SEA_AVOCADO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926011,KDW73_gp51,KDW73_gp51,SEA_AVOCADO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926012,KDW73_gp52,KDW73_gp52,SEA_AVOCADO_52,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210422,-
2024302,63926013,KDW73_gp53,KDW73_gp53,SEA_AVOCADO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926014,KDW73_gp54,KDW73_gp54,SEA_AVOCADO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926015,KDW73_gp55,KDW73_gp55,SEA_AVOCADO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926016,KDW73_gp56,KDW73_gp56,SEA_AVOCADO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926017,KDW73_gp57,KDW73_gp57,SEA_AVOCADO_57,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210422,-
2024302,63926018,KDW73_gp58,KDW73_gp58,SEA_AVOCADO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926019,KDW73_gp59,KDW73_gp59,SEA_AVOCADO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926020,KDW73_gp60,KDW73_gp60,SEA_AVOCADO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926021,KDW73_gp61,KDW73_gp61,SEA_AVOCADO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926022,KDW73_gp62,KDW73_gp62,SEA_AVOCADO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926023,KDW73_gp63,KDW73_gp63,SEA_AVOCADO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926024,KDW73_gp64,KDW73_gp64,SEA_AVOCADO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926025,KDW73_gp66,KDW73_gp66,SEA_AVOCADO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926026,KDW73_gp67,KDW73_gp67,SEA_AVOCADO_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210422,-
2024302,63926027,KDW73_gp68,KDW73_gp68,SEA_AVOCADO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926028,KDW73_gp65,KDW73_gp65,SEA_AVOCADO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926029,KDW73_gp39,KDW73_gp39,SEA_AVOCADO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2024302,63926030,KDW73_gp01,KDW73_gp01,SEA_AVOCADO_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210422,-
2024302,64409706,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
