#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743936,58557257,H6S70_gp53,H6S70_gp53,vBPaeMUSP1_53,-,-,-,DNA polymerase III epsilon subunit,protein-coding,-,-,-,DNA polymerase III epsilon subunit,20201222,-
2743936,58557258,H6S70_gp43,H6S70_gp43,vBPaeMUSP1_43,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210522,-
2743936,58557259,H6S70_gp37,H6S70_gp37,vBPaeMUSP1_37,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2743936,58557260,H6S70_gp16,H6S70_gp16,vBPaeMUSP1_16,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210522,-
2743936,58557261,H6S70_gp72,H6S70_gp72,vBPaeMUSP1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557262,H6S70_gp51,H6S70_gp51,vBPaeMUSP1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557263,H6S70_gp28,H6S70_gp28,vBPaeMUSP1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557264,H6S70_gp42,H6S70_gp42,vBPaeMUSP1_42,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210522,-
2743936,58557265,H6S70_gp20,H6S70_gp20,vBPaeMUSP1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557266,H6S70_gp03,H6S70_gp03,vBPaeMUSP1_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557267,H6S70_gp41,H6S70_gp41,vBPaeMUSP1_41,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210522,-
2743936,58557268,H6S70_gp65,H6S70_gp65,vBPaeMUSP1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557269,H6S70_gp22,H6S70_gp22,vBPaeMUSP1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557270,H6S70_gp68,H6S70_gp68,vBPaeMUSP1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557271,H6S70_gp70,H6S70_gp70,vBPaeMUSP1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557272,H6S70_gp55,H6S70_gp55,vBPaeMUSP1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557273,H6S70_gp63,H6S70_gp63,vBPaeMUSP1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743936,58557274,H6S70_gp11,H6S70_gp11,vBPaeMUSP1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557275,H6S70_gp57,H6S70_gp57,vBPaeMUSP1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557276,H6S70_gp46,H6S70_gp46,vBPaeMUSP1_46,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201222,-
2743936,58557277,H6S70_gp49,H6S70_gp49,vBPaeMUSP1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557278,H6S70_gp64,H6S70_gp64,vBPaeMUSP1_64,-,-,-,ATP-dependent exonuclease,protein-coding,-,-,-,ATP-dependent exonuclease,20210522,-
2743936,58557279,H6S70_gp38,H6S70_gp38,vBPaeMUSP1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557280,H6S70_gp17,H6S70_gp17,vBPaeMUSP1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2743936,58557281,H6S70_gp67,H6S70_gp67,vBPaeMUSP1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557282,H6S70_gp08,H6S70_gp08,vBPaeMUSP1_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557283,H6S70_gp40,H6S70_gp40,vBPaeMUSP1_40,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210522,-
2743936,58557284,H6S70_gp44,H6S70_gp44,vBPaeMUSP1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2743936,58557285,H6S70_gp80,H6S70_gp80,vBPaeMUSP1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
