#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2178923,60336934,2,I5J51_gp02,SEA_XAVIA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2178923,60336935,3,I5J51_gp03,SEA_XAVIA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2178923,60336936,4,I5J51_gp04,SEA_XAVIA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2178923,60336937,5,I5J51_gp05,SEA_XAVIA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2178923,60336938,6,I5J51_gp06,SEA_XAVIA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2178923,60336939,7,I5J51_gp07,SEA_XAVIA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336940,8,I5J51_gp08,SEA_XAVIA_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210424,-
2178923,60336941,9,I5J51_gp09,SEA_XAVIA_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2178923,60336942,10,I5J51_gp10,SEA_XAVIA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336943,11,I5J51_gp11,SEA_XAVIA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336944,12,I5J51_gp12,SEA_XAVIA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336945,13,I5J51_gp13,SEA_XAVIA_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2178923,60336946,14,I5J51_gp14,SEA_XAVIA_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2178923,60336947,16,I5J51_gp15,SEA_XAVIA_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2178923,60336948,17,I5J51_gp17,SEA_XAVIA_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2178923,60336949,15,I5J51_gp16,SEA_XAVIA_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2178923,60336950,18,I5J51_gp18,SEA_XAVIA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2178923,60336951,19,I5J51_gp19,SEA_XAVIA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2178923,60336952,20,I5J51_gp20,SEA_XAVIA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2178923,60336953,21,I5J51_gp21,SEA_XAVIA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2178923,60336954,22,I5J51_gp22,SEA_XAVIA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2178923,60336955,23,I5J51_gp23,SEA_XAVIA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336956,24,I5J51_gp24,SEA_XAVIA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336957,25,I5J51_gp25,SEA_XAVIA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336958,26,I5J51_gp26,SEA_XAVIA_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2178923,60336959,27,I5J51_gp27,SEA_XAVIA_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2178923,60336960,28,I5J51_gp28,SEA_XAVIA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2178923,60336961,29,I5J51_gp29,SEA_XAVIA_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2178923,60336962,30,I5J51_gp30,SEA_XAVIA_30,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2178923,60336963,31,I5J51_gp31,SEA_XAVIA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336964,32,I5J51_gp32,SEA_XAVIA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2178923,60336965,33,I5J51_gp33,SEA_XAVIA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336966,34,I5J51_gp34,SEA_XAVIA_34,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
