#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
9400,54094899,HGD97_mgt04,HGD97_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094900,HGD97_mgt07,HGD97_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094901,HGD97_mgt12,HGD97_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094902,HGD97_mgt14,HGD97_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094903,ATP6,HGD97_mgp08,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20210320,-
9400,54094904,COX3,HGD97_mgp07,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,cytochrome c oxidase subunit III,20210320,-
9400,54094905,HGD97_mgt15,HGD97_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094906,HGD97_mgt16,HGD97_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094907,ND4,HGD97_mgp04,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210320,-
9400,54094908,HGD97_mgt17,HGD97_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094909,ND6,HGD97_mgp02,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210320,-
9400,54094910,HGD97_mgt20,HGD97_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094911,HGD97_mgt21,HGD97_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094912,HGD97_mgt01,HGD97_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094913,HGD97_mgr02,HGD97_mgr02,-,-,MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20200908,-
9400,54094914,HGD97_mgt02,HGD97_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094915,HGD97_mgr01,HGD97_mgr01,-,-,MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20200908,-
9400,54094916,HGD97_mgt03,HGD97_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094917,ND1,HGD97_mgp13,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210320,-
9400,54094918,HGD97_mgt05,HGD97_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094919,HGD97_mgt06,HGD97_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094920,ND2,HGD97_mgp12,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210320,-
9400,54094921,HGD97_mgt08,HGD97_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094922,HGD97_mgt09,HGD97_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094923,HGD97_mgt10,HGD97_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094924,HGD97_mgt11,HGD97_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094925,COX1,HGD97_mgp11,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20210116,-
9400,54094926,HGD97_mgt13,HGD97_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094927,COX2,HGD97_mgp10,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,cytochrome c oxidase subunit II,20210320,-
9400,54094928,ATP8,HGD97_mgp09,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20210320,-
9400,54094929,ND3,HGD97_mgp06,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210320,-
9400,54094930,ND4L,HGD97_mgp05,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210320,-
9400,54094931,HGD97_mgt18,HGD97_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094932,HGD97_mgt19,HGD97_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
9400,54094933,ND5,HGD97_mgp03,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210320,-
9400,54094934,CYTB,HGD97_mgp01,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210212,-
9400,54094935,HGD97_mgt22,HGD97_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
