#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
41010,63385832,J1918_mgt04,J1918_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385833,J1918_mgt07,J1918_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385834,J1918_mgt12,J1918_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385835,J1918_mgt14,J1918_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385836,ATP6,J1918_mgp08,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20210605,-
41010,63385837,COX3,J1918_mgp07,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,cytochrome c oxidase subunit III,20210605,-
41010,63385838,J1918_mgt15,J1918_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385839,J1918_mgt16,J1918_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385840,ND4,J1918_mgp04,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210605,-
41010,63385841,J1918_mgt17,J1918_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385842,ND6,J1918_mgp02,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210605,-
41010,63385843,J1918_mgt20,J1918_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385844,J1918_mgt21,J1918_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385845,J1918_mgt01,J1918_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385846,J1918_mgr02,J1918_mgr02,-,-,MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20210326,-
41010,63385847,J1918_mgt02,J1918_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385848,J1918_mgr01,J1918_mgr01,-,-,MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20210326,-
41010,63385849,J1918_mgt03,J1918_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385850,ND1,J1918_mgp13,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210605,-
41010,63385851,J1918_mgt05,J1918_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385852,J1918_mgt06,J1918_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385853,ND2,J1918_mgp12,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210420,-
41010,63385854,J1918_mgt08,J1918_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385855,J1918_mgt09,J1918_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385856,J1918_mgt10,J1918_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385857,J1918_mgt11,J1918_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385858,COX1,J1918_mgp11,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20210605,-
41010,63385859,J1918_mgt13,J1918_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385860,COX2,J1918_mgp10,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,cytochrome c oxidase subunit II,20210605,-
41010,63385861,ATP8,J1918_mgp09,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20210605,-
41010,63385862,ND3,J1918_mgp06,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210605,-
41010,63385863,ND4L,J1918_mgp05,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210605,-
41010,63385864,J1918_mgt18,J1918_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385865,J1918_mgt19,J1918_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
41010,63385866,ND5,J1918_mgp03,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210605,-
41010,63385867,CYTB,J1918_mgp01,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210605,-
41010,63385868,J1918_mgt22,J1918_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210326,-
